,Datetime,GHI
23904,2024-09-06 00:00:00,0
23905,2024-09-06 00:15:00,0
23906,2024-09-06 00:30:00,0
23907,2024-09-06 00:45:00,0
23908,2024-09-06 01:00:00,0
23909,2024-09-06 01:15:00,0
23910,2024-09-06 01:30:00,0
23911,2024-09-06 01:45:00,0
23912,2024-09-06 02:00:00,0
23913,2024-09-06 02:15:00,0
23914,2024-09-06 02:30:00,0
23915,2024-09-06 02:45:00,0
23916,2024-09-06 03:00:00,0
23917,2024-09-06 03:15:00,0
23918,2024-09-06 03:30:00,0
23919,2024-09-06 03:45:00,0
23920,2024-09-06 04:00:00,0
23921,2024-09-06 04:15:00,0
23922,2024-09-06 04:30:00,0
23923,2024-09-06 04:45:00,0
23924,2024-09-06 05:00:00,0
23925,2024-09-06 05:15:00,0
23926,2024-09-06 05:30:00,0
23927,2024-09-06 05:45:00,9
23928,2024-09-06 06:00:00,35
23929,2024-09-06 06:15:00,93
23930,2024-09-06 06:30:00,95
23931,2024-09-06 06:45:00,122
23932,2024-09-06 07:00:00,153
23933,2024-09-06 07:15:00,234
23934,2024-09-06 07:30:00,350
23935,2024-09-06 07:45:00,403
23936,2024-09-06 08:00:00,384
23937,2024-09-06 08:15:00,412
23938,2024-09-06 08:30:00,454
23939,2024-09-06 08:45:00,468
23940,2024-09-06 09:00:00,506
23941,2024-09-06 09:15:00,565
23942,2024-09-06 09:30:00,614
23943,2024-09-06 09:45:00,769
23944,2024-09-06 10:00:00,801
23945,2024-09-06 10:15:00,828
23946,2024-09-06 10:30:00,851
23947,2024-09-06 10:45:00,869
23948,2024-09-06 11:00:00,885
23949,2024-09-06 11:15:00,897
23950,2024-09-06 11:30:00,905
23951,2024-09-06 11:45:00,907
23952,2024-09-06 12:00:00,751
23953,2024-09-06 12:15:00,902
23954,2024-09-06 12:30:00,894
23955,2024-09-06 12:45:00,876
23956,2024-09-06 13:00:00,859
23957,2024-09-06 13:15:00,838
23958,2024-09-06 13:30:00,814
23959,2024-09-06 13:45:00,784
23960,2024-09-06 14:00:00,754
23961,2024-09-06 14:15:00,719
23962,2024-09-06 14:30:00,680
23963,2024-09-06 14:45:00,639
23964,2024-09-06 15:00:00,595
23965,2024-09-06 15:15:00,549
23966,2024-09-06 15:30:00,500
23967,2024-09-06 15:45:00,450
23968,2024-09-06 16:00:00,398
23969,2024-09-06 16:15:00,345
23970,2024-09-06 16:30:00,292
23971,2024-09-06 16:45:00,238
23972,2024-09-06 17:00:00,186
23973,2024-09-06 17:15:00,135
23974,2024-09-06 17:30:00,88
23975,2024-09-06 17:45:00,47
23976,2024-09-06 18:00:00,16
23977,2024-09-06 18:15:00,0
23978,2024-09-06 18:30:00,0
23979,2024-09-06 18:45:00,0
23980,2024-09-06 19:00:00,0
23981,2024-09-06 19:15:00,0
23982,2024-09-06 19:30:00,0
23983,2024-09-06 19:45:00,0
23984,2024-09-06 20:00:00,0
23985,2024-09-06 20:15:00,0
23986,2024-09-06 20:30:00,0
23987,2024-09-06 20:45:00,0
23988,2024-09-06 21:00:00,0
23989,2024-09-06 21:15:00,0
23990,2024-09-06 21:30:00,0
23991,2024-09-06 21:45:00,0
23992,2024-09-06 22:00:00,0
23993,2024-09-06 22:15:00,0
23994,2024-09-06 22:30:00,0
23995,2024-09-06 22:45:00,0
23996,2024-09-06 23:00:00,0
23997,2024-09-06 23:15:00,0
23998,2024-09-06 23:30:00,0
23999,2024-09-06 23:45:00,0
